Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Streams,Playlist_count,Playlist_reach,Popularity,Explicit Track
redrum,american dream,21 Savage,2024-12-01 00:00:00,87,164.8,428233003,57311,144298748,0.0,1
Easy On Me,Easy On Me,Adele,Unknown,88,163.2,1720918065,209635,93875458,73.0,0
Tit   Me Pregu,Un Verano Sin Ti,Bad Bunny,2022-06-05 00:00:00,89,163.1,1514239759,190692,77283361,77.0,1
All My Life (feat. J. Cole),All My Life (feat. J. Cole),Lil Durk,2023-12-05 00:00:00,90,162.0,333202114,108322,41018697,68.0,1
Anti-Hero,Midnights,Taylor Swift,Unknown,91,161.8,1563224246,117005,97456780,80.0,0
"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,2022-06-07 00:00:00,92,161.7,1692951462,209490,88591675,78.0,0
Magnetic,SUPER REAL ME,ILLIT,Unknown,93,161.0,255076355,11500,90584540,86.0,0
Lollipop,EVERYBODY GO TO THE DISCOTEK,Darell,Unknown,94,158.2,275349653,37806,22826643,70.0,1
La Diabla,La Diabla - Single,Xavi,2023-02-12 00:00:00,95,155.9,649404552,27544,47789063,83.0,0
Boy's a Liar Pt. 2,Boy's a liar Pt. 2,PinkPantheress,2023-03-02 00:00:00,96,153.6,851085705,129047,50996176,70.0,1
Snooze,SOS,SZA,2022-09-12 00:00:00,97,153.3,1013350808,108036,86470319,84.0,1
BELLAKEO,BELLAKEO,Peso Pluma,2023-07-12 00:00:00,98,153.1,359803580,26065,79152427,86.0,1
Agora Hills,Scarlet,Doja Cat,Unknown,99,152.8,509653100,66219,67521533,0.0,1
Prada,Prada,cass ,2023-11-08 00:00:00,100,152.5,609699748,128498,160755092,83.0,1
Montagem Rave Eterno,Montagem Rave Eterno,Dj Samir,2024-02-05 00:00:00,101,152.3,5157486,470,2924720,0.0,0
Lil Boo Thang,Lil Boo Thang,Paul Russell,Unknown,102,152.1,242070373,37170,74130983,76.0,0
MONACO,nadie sabe lo que va a pasar ma  ,Bad Bunny,Unknown,103,150.7,478150858,73306,51842133,78.0,1
Laxed (Siren Beat),Laxed (Siren Beat),Jawsh 685,Unknown,104,150.5,61382407,7240,1708319,43.0,0
(It Goes Like) Nanana - Edit,(It Goes Like) Nanana [Edit],Peggy Gou,Unknown,105,150.4,460156070,163449,127827271,77.0,0
Training Season,Training Season,Dua Lipa,Unknown,106,148.9,251153869,16811,92985554,76.0,0
Type Shit,WE DON'T TRUST YOU,Future,Unknown,107,148.1,205206688,28064,84737651,84.0,1
Armageddon,Armageddon - The 1st Album,aespa,Unknown,108,147.4,32942304,1262,26204483,74.0,0
The Box,Please Excuse Me For Being Antisocial,Roddy Ricch,2019-06-12 00:00:00,109,146.6,1911559785,317345,87765033,78.0,1
INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,Unknown,110,145.3,2014959725,354831,87942438,70.0,1
Pedro,Pedro - Single,Jaxomy,Unknown,111,144.6,168145583,27654,159737263,85.0,0
Fast Car,Gettin' Old,Luke Combs,Unknown,112,144.5,518988585,73116,58391498,80.0,0
Bling-Bang-Bang-Born,Bling-Bang-Bang-Born,Creepy Nuts,2024-07-01 00:00:00,113,144.0,247399972,22222,13870528,80.0,0
Aesthetic,Aesthetic,Tollan Kim,2022-04-03 00:00:00,114,144.0,5712985,2311,535908,44.0,0
Sunflower - Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,Unknown,116,143.9,3358704125,392082,123917182,79.0,0
Hands,Hands,Dian ,2022-01-08 00:00:00,115,143.9,126914,8,212,1.0,0
Saturn,Saturn - Single,SZA,Unknown,117,142.8,343090427,21104,154253718,87.0,0
Chegou a Hora de Ir para Cama (Playback),3 Palavrinhas Vol.9 (Playback),3 Palavrinhas,2024-04-06 00:00:00,118,142.4,0,0,0,0.0,0
Believer,Believer,Imagine Dragons,Unknown,119,142.2,3006226762,335880,89243475,81.0,0
WAIT FOR U (feat. Drake & Tems),WAIT FOR U (feat. Drake & Tems),Future,Unknown,120,141.0,787155930,183850,58397185,77.0,1
I KNOW ?,UTOPIA,Travis Scott,Unknown,121,139.5,532605345,128534,31725858,81.0,1
ANDO,ANDO,Jere Klein,Unknown,122,139.0,292789738,28591,30905957,72.0,1
First Class,First Class,Jack Harlow,2022-08-04 00:00:00,123,138.6,818858244,223609,49586777,71.0,1
FE!N,UTOPIA,Travis Scott,Unknown,124,137.8,659010786,129923,93969186,86.0,1
Save Your Tears - Live,After Hours (Live At SoFi Stadium),The Weeknd,2023-03-03 00:00:00,125,137.7,3913988,545,1054122,40.0,1
Losing Interest - Original Mix,Losing Interest (Original),Goovex,2024-10-06 00:00:00,126,136.4,126247886,5,5973,1.0,0
I Ain't Worried,"I Ain   t Worried (Music From The Motion Pi""Top Gun: Maverick"")",OneRepublic,Unknown,127,136.2,1607421145,212406,160444270,83.0,0
MI EX TEN  A RA,MA  ANA SER   BONITO (BICHOTA,KAROL G,2023-10-08 00:00:00,128,136.2,438796949,23959,34805394,78.0,0
Drained of Color,Drained of Color,Exhumed,Unknown,129,134.0,158627,635,18765,16.0,0
Mood (feat. iann dior),Mood (feat. Iann Dior),24kGoldn,Unknown,130,133.0,1867736006,302486,82611625,76.0,1
Dynamite,Dynamite,BTS,Unknown,131,132.3,1872577908,144619,51186002,74.0,0
Looking Like a Wow End of Year 2023,Looking Like a Wow,WasteLand,2023-10-12 00:00:00,132,130.7,8327,3,8,0.0,0
Someone You Loved,Breach,Lewis Capaldi,2018-08-11 00:00:00,133,129.7,3427498835,338763,160553919,82.0,0
Acr  s,Acr  stico - Si,Shakira,2023-11-05 00:00:00,134,129.6,230849195,23091,12233221,64.0,0
Made You Look,Takin' It Back,Meghan Trainor,Unknown,135,129.5,720720922,74295,89509926,77.0,0
PHONK BRASILEIRO FRESCO (Slowed + Reverb),PHONK BRASILEIRO FRESCO,DJ MOIGUS,Unknown,136,129.4,1378494,351,43395,34.0,0
"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]","Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",Shreya Ghoshal,Unknown,137,129.1,2827545,62,1433870,0.0,0
vampire,vampire,Olivia Rodrigo,Unknown,138,128.9,998964097,90793,87801398,18.0,1
Casca de Bala,A Cara das Vaquejadas 3.0,Thullio Milion  ,2024-01-03 00:00:00,139,128.5,37157630,2052,30387641,74.0,0
Back,Back,LOLA,2022-03-08 00:00:00,140,128.0,48428,92,15747,3.0,0
People,People - Single,Libianca,2022-05-12 00:00:00,141,127.8,631955547,121823,45030006,74.0,1
Jedag Jedug Capcut 2024,Jedag Jedug Capcut 2024,Afrian Af,2024-05-01 00:00:00,142,127.4,0,1,47,0.0,1
Lady Killers II (Christoph Andersson Remix),Lady Killers II (Christoph Andersson Remix),G-Eazy,Unknown,143,127.3,94635338,10537,11716074,0.0,1
I Don't Wanna Wait,I Don't Wanna Wait,David Guetta,2024-05-04 00:00:00,144,126.9,114574238,10564,180987712,84.0,0
Abc,Abc,J Ross,Unknown,145,126.6,31867,5,5100,1.0,0
La Bachata,La Bachata,Manuel Turizo,Unknown,146,126.2,1721045197,156941,97122096,81.0,0
                     ,                     ,FLI:P,2023-07-04 00:00:00,147,125.4,8028757,1972,488653,44.0,0
Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,Unknown,148,125.2,1612286123,282719,97390961,74.0,1
Don't Start Now,Don't Start Now,Dua Lipa,Unknown,149,124.6,2607121959,270230,143953432,78.0,0
Lucid Dreams,Lucid Dreams,Juice WRLD,2018-04-05 00:00:00,150,123.9,2548389305,339306,75858140,78.0,1
PROVENZA,PROVENZA,KAROL G,Unknown,151,123.8,1185929926,103026,64847502,76.0,0
WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,2020-07-08 00:00:00,152,123.4,1325725696,171255,53040559,72.0,1
SPOT!,SPOT!,ZICO,Unknown,153,122.8,77757035,3407,35428519,81.0,0
Family Matters,Family Matters,Drake,2024-03-05 00:00:00,154,122.7,72335127,8696,36774031,86.0,1
Again,Missing,Kurochuu,2024-09-06 00:00:00,155,122.5,136237285,2,2190,2.0,0
Seven (feat. Latto) (Explicit Ver.),Seven (feat. Latto),Jung Kook,Unknown,156,122.4,1673557134,54950,91343768,80.0,1
Last Night,3 Songs At A Time Sampler,Morgan Wallen,Unknown,157,121.9,922010059,107189,61174155,79.0,1
Too Sweet,Unreal Unearth: Unheard,Hozier,Unknown,158,121.2,532012790,22396,130752527,85.0,0
Bad Habits,#NAME?,Ed Sheeran,2020-01-01 00:00:00,159,120.8,1754311538,271758,62218811,74.0,0
QLONA,MA  ANA SER   BONITO (BICHOTA,KAROL G,2023-10-08 00:00:00,160,120.7,850810162,56104,79334561,82.0,1
Leave The Door Open,Leave The Door Open,Bruno Mars,2021-05-03 00:00:00,161,120.1,1312168384,248793,50068571,75.0,0
                  ,                3                      ,               (               ),2022-05-01 00:00:00,162,119.5,548408,130,20518,24.0,0
good 4 u,good 4 u,Olivia Rodrigo,Unknown,163,117.8,2167768056,309421,72787213,79.0,1
bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,Unknown,164,117.7,2516804300,296739,113315017,76.0,0
Se  o,Shawn Mendes (Deluxe),Shawn Mendes,Unknown,165,117.6,2738293818,251033,108433327,74.0,0
DESPECH ,DESPECH ,ROSAL ,Unknown,166,116.9,1003487432,126402,88024543,73.0,1
ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,DaBaby,Unknown,167,116.7,1638836101,272933,50425049,70.0,1
Eyes Closed,Eyes Closed (Piano Version),Ed Sheeran,Unknown,168,116.6,372423476,44730,21933393,71.0,0
I Remember Everything (feat. Kacey Musgraves),I Remember Everything (feat. Kacey Musgraves),Zach Bryan,Unknown,169,116.5,630373315,70400,105320547,84.0,0
Circles,Circles,Post Malone,Unknown,170,116.0,2481391466,332437,124491320,80.0,0
EL AMOR DE SU VIDA,EL AMOR DE SU VIDA,Grupo Frontera,2023-03-08 00:00:00,171,115.9,474590289,24891,25915889,78.0,0
About Damn Time,About Damn Time,Lizzo,Unknown,172,115.6,847025688,104052,47808065,66.0,1
Closer,Closer,The Chainsmokers,Unknown,173,114.6,2880536961,285381,129399627,80.0,0
FLOWER,ME,JISOO,Unknown,174,114.3,440364356,26107,15314737,70.0,0
PERRO NEGRO,nadie sabe lo que va a pasar ma  ,Bad Bunny,Unknown,175,114.2,689181455,61138,90492257,83.0,1
Rich Baby Daddy (feat. Sexyy Red & SZA),For All The Dogs,Drake,2023-06-10 00:00:00,176,113.2,372248119,68037,44498005,0.0,1
Havana (feat. Young Thug),Havana,Camila Cabello,2017-03-08 00:00:00,177,112.8,2072182782,194332,86159672,75.0,0
LUNA,FERXXOCALIPSIS,Feid,2023-01-12 00:00:00,178,112.6,606124553,40628,139802900,86.0,0
I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone,2022-03-06 00:00:00,179,112.5,827950825,118965,64661540,73.0,1
Bones,Bones,Imagine Dragons,2022-11-03 00:00:00,180,112.0,1227475431,180053,70861210,78.0,0
Seg  n Qu,Seg  n Qu,Maluma,Unknown,182,111.8,571366508,32236,42828677,79.0,1
Selfish,Selfish,Justin Timberlake,Unknown,181,111.8,92932220,8847,31258778,0.0,0
golden hour,golden hour,JVKE,Unknown,183,111.4,1126986320,200887,45885823,73.0,0
Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,Unknown,184,111.3,2074721986,255296,109442317,77.0,0
Get It Sexyy,Get It Sexyy,Sexyy Red,Unknown,185,111.1,89362910,7377,70714216,84.0,1
"This Wish - From ""Wish""","This Wish (From ""Wish"")",Ariana DeBose,Unknown,186,110.9,26674909,2673,8562091,19.0,0
IDGAF (feat. Yeat),For All The Dogs,Drake,2023-06-10 00:00:00,187,110.8,406875019,85930,45178662,0.0,1
Ojitos Lindos,Un Verano Sin Ti,Bad Bunny,2022-06-05 00:00:00,188,110.7,1421763497,152592,62313059,78.0,0
Life Is Good (feat. Drake),Life Is Good (feat. Drake),Future,2020-10-01 00:00:00,189,110.2,1237874594,276882,51153940,67.0,1
